#RUS
Go_on_hajj;Продолжайте паломничество до Мартека;x
go_on_hajj_desc;Отправление в паломничество в Дом Единого в Мартеке является одним из величайших обрядов Ормазда, и это то, что каждый трудолюбивый Ормаздич, как ожидается, однажды сделает в своей жизни. Персонажи с чертой Декадент избавятся от нее.;x
opinion_hajj_promised;Пообещал отправиться в паломничество.;x
opinion_bring_on_hajj;Стали паломниками вместе;x
opinion_attepmt_hajj;Ругал меня по поводу паломничества;x
opinion_declined_hajj;Отказался от паломничества;x
opinion_refused_hajj;Отказался отправиться в паломничество со мной;x
opinion_hajj_saved_from_bandit;Спасён от бандитов во время паломничества;x
opinion_hajj_saving_on_hajj;Спасён от бандитов;x
opinion_hajj_attempt_murder;Нарушено перемирие во время паломничества;x
opinion_hajj_rivalry_mended;Положительный разговор о паломничестве;x
EVTDESC86000; Вы начали готовиться к паломничеству в Мартек. Скоро вы смиритесь и присоединитесь к группе остальных поломников, чтобы выполнить один из главных обрядов культа Ормазд.;x
EVTOPTA86000;Все равны перед Единым!;x
EVTDESC86001: При подготовке к путешествию в Мартек, я понял, что есть члены моего двора, которые еще не были паломниками Мартек.Как [Root.PrimaryTitle.GetRulerTitle], мой долг - быть благодетелем для моих людей. Я поведу одного из них со мной.;x
EVTOPTA86001;Это сделает путешествие более приятным...;x
EVTOPTB86001;Это слишком дорого...;x
EVTDESC86010; Готовясь к моему паломничеству в Мартек, я понял[Root.get_feminine_ending], что [Root.Liege.GetTitledName] не является паломником.;x
EVTOPTA86010; Ругать [Root.Liege.GetHerHim] за это!;x
EVTTOOLTIP86011;послушает нас...;x
EVTOPTB86010;Очевидно, [Root.Liege.GetSheHe] не на шутку занят...;x
EVTDESC86011; Мой достопочтенный [Root.GetTitle]!\n Я готовлюсь к дороге паломника в Мартек. К сожалению, слухи говорят мне о том, что Вы не отправитесь в паломничество самостоятельно. Хотели бы вы путешествовать со мной, вашим верным слугой?\nВаш скромный [From.GetTitledName];x
EVTOPTA86011;Я немедленно начну подготовку!;x
EVTTOOLTIP86012;будут путешествовать вместе с нами...;x
EVTOPTB86011;Я слишком занят!;x
EVTTOOLTIP86013;будет разочарован во мне;x
EVTDESC86012;Ваша милость [Root.GetTitledFirstName]!\nI на пути в Мартек, к Вам присоединится Ваш вассал, [From.GetTitledName];x
EVTOPTA86012;Во славу Ормазда!;x
EVTDESC86013;С прискорбием вынужден Вам сообщить, что не смогу присоединиться к Вашему паломничеству.\n[From.GetTitledName];x
EVTOPTA86013;Ормазд будет вершить правосудие над [From.GetHerHim]...;x
EVTDESC86015;Наш вассал, [Root.Liege.GetTitledName], услышав о наших планах поехать в Мартек, предупредил нас, что дорога опасна из-за неверных и бандитов.;x
EVTOPTA86015;Взять с собой охрану;x
EVTOPTB86015;Путешествовать налегке;x
EVTDESC86020;При подготовке к моему паломничеству в Мартек, мой [Root.child_wants_hajj.GetSonDaughter] пришел узнать, не соблаговолит ли моё сиятельство взять [Root.child_wants_hajj.GetSheHe]  с собой?.;x
